rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
557,HD 196050,Radial Velocity,1,1378,21,-21,0,2.54,0.15,-0.15,0,0.228,0.038,-0.038,0,,,,,2.9,0.26,-0.26,0,,,,,,,,,,,,,0,0,5892,,,0,0,1.15,,,0,0,,,,,0
558,HD 196067,Radial Velocity,1,3638,232,-185,0,5.02,0.19,-0.19,0,0.66,0.18,-0.09,0,,,,,6.9,3.9,-1.1,0,,,,,,,,,,,,,0,0,6017,46,-46,0,0,1.29,0.08,-0.08,0,0,1.73,0.21,-0.21,0,0
559,HD 196885,Radial Velocity,1,1333,15,-15,0,2.37,0.02,-0.02,0,0.48,0.06,-0.06,0,,,,,2.58,0.16,-0.16,0,,,,,,,,,,,,,0,0,6254,44,-44,0,0,1.28,0.05,-0.05,0,0,1.31,0.05,-0.05,0,0
560,HD 197037,Radial Velocity,1,1035.7,13,-13,0,2.07,0.05,-0.05,0,0.22,0.07,-0.07,0,,,,,0.79,0.05,-0.05,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
561,HD 200964,Radial Velocity,2,613.8,1.3,-1.4,0,1.601,0.002,-0.002,0,0.04,0.04,-0.02,0,,,,,1.85,0.14,-0.08,0,,,,,,,,,,,,,0,0,5164,44,-44,0,0,1.44,0.09,-0.09,0,0,4.3,0.09,-0.09,0,0
562,HD 200964,Radial Velocity,2,825,5.1,-3.1,0,1.95,0.008,-0.005,0,0.181,0.024,-0.017,0,,,,,0.895,0.123,-0.063,0,,,,,,,,,,,,,0,0,5164,44,-44,0,0,1.44,0.09,-0.09,0,0,4.3,0.09,-0.09,0,0
563,HD 202206,Radial Velocity,2,255.87,0.06,-0.06,0,0.8304,,,0,0.43492,,,0,,,,,17.42774,,,0,,,,,,,,,90,,,0,0,0,5765,40,-40,0,0,1.15,,,0,0,,,,,0
564,HD 202206,Radial Velocity,2,1383.4,18.4,-18.4,0,2.542,,,0,0.26692,,,0,,,,,2.43653,,,0,,,,,,,,,90,,,0,0,0,5765,40,-40,0,0,1.15,,,0,0,,,,,0
565,HD 203030,Imaging,1,,,,,487.1,1.8,-1.8,0,,,,,24.09,8.379,-11.521,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
566,HD 204313,Radial Velocity,2,1920.1,25,-25,0,3.04,0.06,-0.06,0,0.23,0.04,-0.04,0,,,,,3.55,0.2,-0.2,0,,,,,,,,,,,,,0,0,5760,100,-100,0,0,1.02,,,0,0,,,,,
567,HD 204313,Radial Velocity,2,2831.6,150,-150,0,3.93,0.14,-0.14,0,0.28,0.09,-0.09,0,,,,,1.68,0.3,-0.3,0,,,,,,,,,,,,,0,0,5760,100,-100,0,0,1.02,,,0,0,,,,,
568,HD 204941,Radial Velocity,1,1733,74,-74,0,2.56,0.08,-0.08,0,0.37,0.08,-0.08,0,,,,,0.266,0.032,-0.032,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
569,HD 205739,Radial Velocity,1,279.8,0.1,-0.1,0,0.896,0.019,-0.015,0,0.27,0.07,-0.07,0,,,,,1.37,0.07,-0.09,0,,,,,,,,,,,,,0,0,6176,30,-30,0,0,1.22,0.08,-0.06,0,0,1.33,0.1,-0.1,0,0
570,HD 206610,Radial Velocity,1,610,13,-13,0,1.68,0.05,-0.05,0,0.229,0.058,-0.058,0,,,,,2.2,0.1,-0.1,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
571,HD 207832,Radial Velocity,2,161.97,0.97,-0.78,0,0.57,0.002,-0.002,0,0.13,0.18,-0.05,0,0.56,0.06,-0.03,0,,,,,,,,,,,,,,,,,0,0,5710,81,,0,,0.94,0.1,,0,,0.9,0.06,,0,
572,HD 207832,Radial Velocity,2,1155.7,71.9,-37,0,2.112,0.087,-0.045,0,0.27,0.22,-0.1,0,0.73,0.18,-0.05,0,,,,,,,,,,,,,,,,,0,0,5710,81,,0,,0.94,0.1,,0,,0.9,0.06,,0,
573,HD 208527,Radial Velocity,1,875.5,5.8,-5.8,0,2.1,0.2,-0.2,0,0.08,0.04,-0.04,0,,,,,9.9,1.7,-1.7,0,,,,,,,,,,,,,0,0,4035,65,-65,0,0,1.6,0.4,-0.4,0,0,51.1,8.3,-8.3,0,0
574,HD 208487,Radial Velocity,1,130.08,0.51,-0.51,0,0.524,0.03,-0.03,0,0.24,0.16,-0.16,0,,,,,0.52,0.082,-0.082,0,,,,,,,,,,,,,0,0,6067,,,0,0,1.13,,,0,0,,,,,0
575,HD 209458,Radial Velocity,1,3.52474859,0.00000038,-0.00000038,0,0.04747,0.00055,-0.00055,0,,,,,0.714,0.017,-0.017,0,,,,,1.38,0.017,-0.017,0,0.362,0.005,-0.005,0,86.59,0.046,-0.046,0,0,0,6117,50,-50,0,0,1.15,0.04,-0.04,0,0,1.16,0.01,-0.01,0,0
576,HD 210277,Radial Velocity,1,442.19,0.5,-0.5,0,1.138,0.066,-0.066,0,0.476,0.017,-0.017,0,,,,,1.29,0.11,-0.11,0,,,,,,,,,,,,,0,0,5555,,,0,0,1.01,,,0,0,,,,,0
577,HD 210702,Radial Velocity,1,354.8,1.1,-1.1,0,1.2,,,0,0.094,0.052,-0.052,0,1.9,,,0,,,,,,,,,,,,,,,,,0,0,4967,25,,0,,1.68,0.18,,0,,5.1,0.4,,0,
578,HD 212771,Radial Velocity,1,373.3,3.4,-3.4,0,1.22,0.03,-0.03,0,0.111,0.06,-0.06,0,,,,,2.3,0.4,-0.4,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
579,HD 212301,Radial Velocity,1,2.245715,0.000028,-0.000028,0,0.036,,,0,0,,,0,,,,,0.45,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
580,HD 213240,Radial Velocity,1,951,42,-42,0,2.03,,,0,0.45,0.04,-0.04,0,,,,,4.5,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
581,HD 215497,Radial Velocity,2,3.93404,0.00066,-0.00066,0,0.047,,,0,0.16,0.09,-0.09,0,,,,,0.02,,,0,,,,,,,,,,,,,0,0,5113,93,-93,0,0,0.87,0.02,-0.02,0,0,,,,,0
582,HD 215497,Radial Velocity,2,567.94,2.7,-2.7,0,1.282,,,0,0.49,0.04,-0.04,0,,,,,0.33,,,0,,,,,,,,,,,,,0,0,5113,93,-93,0,0,0.87,0.02,-0.02,0,0,,,,,0
583,HD 216435,Radial Velocity,1,1311,49,-49,0,2.56,0.17,-0.17,0,0.07,0.078,-0.078,0,,,,,1.26,0.13,-0.13,0,,,,,,,,,,,,,0,0,5999,60,-60,0,0,1.3,,,0,0,,,,,0
584,HD 216437,Radial Velocity,1,1294,250,-250,0,2.4,0.5,-0.5,0,0.33,0.09,-0.09,0,,,,,2.1,0.3,-0.3,0,,,,,,,,,,,,,0,0,5887,,,0,0,1.06,,,0,0,,,,,0
585,HD 216536,Radial Velocity,1,148.6,0.7,-0.7,0,0.609,0.002,-0.002,0,0.38,0.12,-0.1,0,,,,,1.47,0.2,-0.12,0,,,,,,,,,,,,,0,0,4639,45,-45,0,0,1.36,0.38,-0.38,0,0,12.5,4,-4,0,0
586,HD 216770,Radial Velocity,1,118.45,0.55,-0.55,0,0.46,,,0,0.37,0.06,-0.06,0,,,,,0.65,,,0,,,,,,,,,,,,,0,0,,,,,0,0.9,,,0,0,,,,,0
587,HD 217107,Radial Velocity,2,7.126816,0.000039,-0.000039,0,0.0748,0.0043,-0.0043,0,0.1267,0.0052,-0.0052,0,,,,,1.39,0.11,-0.11,0,,,,,,,,,,,,,0,0,5646,,,0,0,1.02,,,0,0,,,,,0
588,HD 217107,Radial Velocity,2,4270,220,-220,0,5.32,0.38,-0.38,0,0.517,0.033,-0.033,0,,,,,2.6,0.15,-0.15,0,,,,,,,,,,,,,0,0,5646,,,0,0,1.02,,,0,0,,,,,0
589,HD 217786,Radial Velocity,1,1319,4,-4,0,2.38,0.04,-0.04,0,0.4,0.05,-0.05,0,,,,,13,0.8,-0.8,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
